freq	dB(S(1,2))
1.44999999999999996E9	-9.75290334596063424E0
1.45999999999999996E9	-9.74891769826129817E0
1.46999999999999997E9	-9.74309360775518485E0
1.47999999999999998E9	-9.73536447520454296E0
1.48999999999999999E9	-9.72566320798717676E0
1.50000000000000000E9	-9.71392246603964260E0
1.51000000000000001E9	-9.70007493330713721E0
1.52000000000000002E9	-9.68405361485715943E0
1.53000000000000003E9	-9.66579215950365267E0
1.54000000000000004E9	-9.64522520743365597E0
1.55000000000000004E9	-9.62228876194115834E0
1.56000000000000005E9	-9.59692058395273229E0
1.56999999999999984E9	-9.56906060758188914E0
1.58000000000000007E9	-9.53865137448335787E0
1.59000000000000008E9	-9.50563848429934843E0
1.60000000000000009E9	-9.46997105801219163E0
1.61000000000000010E9	-9.43160221054593428E0
1.61999999999999988E9	-9.39048952851375773E0
1.63000000000000012E9	-9.34659554859655195E0
1.63999999999999990E9	-9.29988823167103540E0
1.64999999999999991E9	-9.25034142751043476E0
1.66000000000000014E9	-9.19793532464618124E0
1.66999999999999993E9	-9.14265687984570796E0
1.68000000000000016E9	-9.08450022161021131E0
1.68999999999999995E9	-9.02346702215839258E0
1.69999999999999996E9	-8.95956683252521024E0
1.71000000000000019E9	-8.89281737567950614E0
1.71999999999999997E9	-8.82324479294915243E0
1.72999999999999998E9	-8.75088383952100557E0
1.73999999999999977E9	-8.67577802536518483E0
1.75000000000000000E9	-8.59797969858609434E0
1.76000000000000023E9	-8.51755006893030142E0
1.77000000000000002E9	-8.43455916995082511E0
1.78000000000000003E9	-8.34908575913302720E0
1.78999999999999981E9	-8.26121715610048746E0
1.80000000000000004E9	-8.17104901982387410E0
1.81000000000000005E9	-8.07868506653628593E0
1.81999999999999984E9	-7.98423673078894147E0
1.83000000000000007E9	-7.88782277275818799E0
1.83999999999999986E9	-7.78956883551393275E0
1.85000000000000009E9	-7.68960695648141712E0
1.86000000000000010E9	-7.58807503776038139E0
1.86999999999999988E9	-7.48511628030548959E0
1.88000000000000012E9	-7.38087858722684143E0
1.88999999999999990E9	-7.27551394162759468E0
1.89999999999999991E9	-7.16917776447970745E0
1.91000000000000014E9	-7.06202825804252576E0
1.91999999999999993E9	-6.95422574026624662E0
1.93000000000000016E9	-6.84593197550175070E0
1.93999999999999995E9	-6.73730950666963402E0
1.94999999999999996E9	-6.62852099383183102E0
1.96000000000000019E9	-6.51972856386792898E0
1.96999999999999997E9	-6.41109317569480375E0
1.97999999999999998E9	-6.30277400518377640E0
1.98999999999999977E9	-6.19492785363468190E0
2.00000000000000000E9	-6.08770858336035658E0
2.01000000000000023E9	-5.98126658361745722E0
2.02000000000000002E9	-5.87574826980736553E0
2.03000000000000025E9	-5.77129561853349848E0
2.04000000000000004E9	-5.66804574077805690E0
2.04999999999999982E9	-5.56613049511464641E0
2.06000000000000005E9	-5.46567614252707124E0
2.06999999999999984E9	-5.36680304404984376E0
2.08000000000000007E9	-5.26962540208024333E0
2.08999999999999986E9	-5.17425104584306617E0
2.10000000000000009E9	-5.08078126111225359E0
2.11000000000000032E9	-4.98931066391708455E0
2.12000000000000011E9	-4.89992711758242372E0
2.12999999999999989E9	-4.81271169207967731E0
2.13999999999999968E9	-4.72773866430555501E0
2.14999999999999991E9	-4.64507555755379986E0
2.16000000000000014E9	-4.56478321812254695E0
2.16999999999999993E9	-4.48691592669432460E0
2.18000000000000016E9	-4.41152154185914291E0
2.18999999999999995E9	-4.33864167291270508E0
2.20000000000000018E9	-4.26831187886918251E0
2.20999999999999996E9	-4.20056189047416950E0
2.21999999999999975E9	-4.13541585189843186E0
2.22999999999999998E9	-4.07289257872915567E0
2.23999999999999977E9	-4.01300582886449053E0
2.25000000000000000E9	-3.95576458294665301E0
2.26000000000000023E9	-3.90117333104540265E0
2.27000000000000002E9	-3.84923236241792743E0
2.28000000000000025E9	-3.79993805532598738E0
2.29000000000000004E9	-3.75328316407694818E0
2.29999999999999982E9	-3.70925710066833059E0
2.31000000000000005E9	-3.66784620865483424E0
2.31999999999999984E9	-3.62903402711139700E0
2.33000000000000007E9	-3.59280154283186359E0
2.33999999999999986E9	-3.55912742918241953E0
2.35000000000000009E9	-3.52798827030349660E0
2.36000000000000032E9	-3.49935876963203185E0
2.37000000000000011E9	-3.47321194198661809E0
2.37999999999999989E9	-3.44951928872145785E0
2.38999999999999968E9	-3.42825095569791793E0
2.39999999999999991E9	-3.40937587406650255E0
2.41000000000000014E9	-3.39286188405832645E0
2.41999999999999993E9	-3.37867584219312445E0
2.43000000000000016E9	-3.36678371248044117E0
2.43999999999999995E9	-3.35715064235972926E0
2.45000000000000018E9	-3.34974102425026743E0
2.45999999999999996E9	-3.34451854370964430E0
2.46999999999999975E9	-3.34144621528880048E0
2.47999999999999998E9	-3.34048640725011614E0
2.48999999999999977E9	-3.34160085637279636E0
2.50000000000000000E9	-3.34475067410695770E0
2.51000000000000023E9	-3.34989634535883107E0
2.52000000000000002E9	-3.35699772119364637E0
2.53000000000000025E9	-3.36601400673560391E0
2.54000000000000004E9	-3.37690374551187933E0
2.54999999999999982E9	-3.38962480145776501E0
2.56000000000000005E9	-3.40413433974528701E0
2.56999999999999984E9	-3.42038880754058239E0
2.58000000000000007E9	-3.43834391572431297E0
2.58999999999999986E9	-3.45795462253522468E0
2.60000000000000009E9	-3.47917512001072105E0
2.61000000000000032E9	-3.50195882401320757E0
2.62000000000000011E9	-3.52625836853470664E0
2.62999999999999989E9	-3.55202560488144226E0
2.63999999999999968E9	-3.57921160623845536E0
2.64999999999999991E9	-3.60776667802122519E0
2.66000000000000014E9	-3.63764037432117249E0
2.66999999999999993E9	-3.66878152066030649E0
2.68000000000000016E9	-3.70113824317396922E0
2.68999999999999995E9	-3.73465800425564076E0
2.70000000000000018E9	-3.76928764461061538E0
2.70999999999999996E9	-3.80497343158665169E0
2.71999999999999975E9	-3.84166111357590445E0
2.72999999999999998E9	-3.87929598021526223E0
2.73999999999999977E9	-3.91782292804931753E0
2.75000000000000000E9	-3.95718653126784714E0
2.76000000000000023E9	-3.99733111708079525E0
2.77000000000000002E9	-4.03820084525467315E0
2.78000000000000025E9	-4.07973979130068543E0
2.79000000000000004E9	-4.12189203277847493E0
2.79999999999999982E9	-4.16460173816191404E0
2.81000000000000005E9	-4.20781325769826875E0
2.81999999999999984E9	-4.25147121568867448E0
2.83000000000000007E9	-4.29552060361567278E0
2.83999999999999986E9	-4.33990687354923921E0
2.85000000000000009E9	-4.38457603127436091E0
2.86000000000000032E9	-4.42947472859731040E0
2.87000000000000011E9	-4.47455035430547987E0
2.87999999999999989E9	-4.51975112328331363E0
2.88999999999999968E9	-4.56502616330712208E0
2.89999999999999991E9	-4.61032559907585160E0
2.91000000000000014E9	-4.65560063306116412E0
2.91999999999999993E9	-4.70080362279794528E0
2.93000000000000016E9	-4.74588815426718114E0
2.93999999999999995E9	-4.79080911106018004E0
2.95000000000000018E9	-4.83552273904969532E0
2.95999999999999996E9	-4.87998670632836706E0
2.96999999999999975E9	-4.92416015821381858E0
2.97999999999999998E9	-4.96800376715261915E0
2.98999999999999977E9	-5.01147977739515049E0
3.00000000000000000E9	-5.05455204434418981E0
3.01000000000000023E9	-5.09718606851837031E0
3.02000000000000002E9	-5.13934902409923655E0
3.03000000000000025E9	-5.18100978206837937E0
3.04000000000000004E9	-5.22213892796603218E0
3.04999999999999982E9	-5.26270877433335027E0
3.06000000000000005E9	-5.30269336792842072E0
3.06999999999999984E9	-5.34206849182879751E0
3.08000000000000007E9	-5.38081166255802490E0
3.08999999999999986E9	-5.41890212239575231E0
3.10000000000000009E9	-5.45632082704884080E0
3.11000000000000032E9	-5.49305042887893968E0
3.12000000000000011E9	-5.52907525589786975E0
3.12999999999999989E9	-5.56438128675602517E0
3.13999999999999968E9	-5.59895612195832726E0
3.14999999999999991E9	-5.63278895155484349E0
3.16000000000000014E9	-5.66587051955750454E0
3.16999999999999993E9	-5.69819308534294766E0
3.18000000000000016E9	-5.72975038230407652E0
3.18999999999999995E9	-5.76053757401187472E0
3.20000000000000018E9	-5.79055120815694213E0
3.20999999999999996E9	-5.81978916852989947E0
3.22000000000000020E9	-5.84825062530294382E0
3.22999999999999954E9	-5.87593598386903171E0
3.23999999999999977E9	-5.90284683248832032E0
3.25000000000000000E9	-5.92898588898551093E0
3.26000000000000023E9	-5.95435694673433957E0
3.27000000000000046E9	-5.97896482015568687E0
3.27999999999999980E9	-6.00281528994567992E0
3.29000000000000004E9	-6.02591504824145474E0
3.29999999999999982E9	-6.04827164391815142E0
3.31000000000000005E9	-6.06989342820182554E0
3.32000000000000028E9	-6.09078950077074843E0
3.32999999999999963E9	-6.11096965650134738E0
3.33999999999999986E9	-6.13044433301000780E0
3.35000000000000009E9	-6.14922455912081212E0
3.36000000000000032E9	-6.16732190438489525E0
3.37000000000000011E9	-6.18474842975831152E0
3.37999999999999989E9	-6.20151663953716259E0
3.38999999999999968E9	-6.21763943463656688E0
3.39999999999999991E9	-6.23313006728479646E0
3.41000000000000014E9	-6.24800209720022171E0
3.42000000000000037E9	-6.26226934929815382E0
3.42999999999999972E9	-6.27594587297438267E0
3.43999999999999995E9	-6.28904590299705379E0
3.45000000000000018E9	-6.30158382202764855E0


freq	dB(S(1,3))
1.44999999999999996E9	-5.81734667679938866E0
1.45999999999999996E9	-5.77951025634726356E0
1.46999999999999997E9	-5.74110900777272981E0
1.47999999999999998E9	-5.70215523862664408E0
1.48999999999999999E9	-5.66266203337101715E0
1.50000000000000000E9	-5.62264328244004297E0
1.51000000000000001E9	-5.58211371172391946E0
1.52000000000000002E9	-5.54108891237657097E0
1.53000000000000003E9	-5.49958537082885801E0
1.54000000000000004E9	-5.45762049887264844E0
1.55000000000000004E9	-5.41521266366600695E0
1.56000000000000005E9	-5.37238121748558228E0
1.56999999999999984E9	-5.32914652703473468E0
1.58000000000000007E9	-5.28553000209183832E0
1.59000000000000008E9	-5.24155412326055892E0
1.60000000000000009E9	-5.19724246855665406E0
1.61000000000000010E9	-5.15261973854257249E0
1.61999999999999988E9	-5.10771177969123524E0
1.63000000000000012E9	-5.06254560563252820E0
1.63999999999999990E9	-5.01714941590914254E0
1.64999999999999991E9	-4.97155261183516650E0
